#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,81.7603,6684.75
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,165.559,27409.7
0,0,0,0,0
1,1,1,178.316,31796.7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,197.181,38880.5
0,0,0,0,0
0,0,0,0,0
1,1,1,214.846,46158.8
1,1,1,218.525,47753
4,4,4,886.493,196471
3,3,3,687.425,157518
1,1,1,233.901,54709.5
1,1,1,236.295,55835.4
4,4,4,963.717,232191
5,5,5,1234.5,304812
5,5,5,1265.74,320430
5,5,5,1294.07,334927
22,22,22,5786.61,1.52208e+06
14,14,14,3741.45,999915
24,24,24,6543.83,1.78428e+06
30,30,30,8326.25,2.31094e+06
26,26,26,7343.69,2.07428e+06
28,28,28,8046.41,2.31238e+06
20,20,20,5838.93,1.70469e+06
2,2,2,591.443,174902
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
