#class tools::histo::h1d
#title Shield deposited energy
#dimension 1
#axis fixed 100 0 500
#annotation axis_x.title 
#bin_number 102
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,122.906,15105.8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,288.089,41499.2
0,0,0,0,0
0,0,0,0,0
2,2,2,315.534,49780.8
0,0,0,0,0
4,4,4,670.411,112370
2,2,2,343.899,59135
3,3,3,533.758,94970.5
4,4,4,731.975,133955
3,3,3,566.123,106836
6,6,6,1150.84,220742
6,6,6,1185.42,234212
6,6,6,1220.96,248468
8,8,8,1664.52,346347
11,11,11,2343.6,499337
11,11,11,2387.12,518050
12,12,12,2676.13,596835
9,9,9,2055.94,469660
7,7,7,1633.66,381278
8,8,8,1896.31,449512
18,18,18,4371.61,1.06176e+06
10,10,10,2480.24,615190
8,8,8,2021.16,510653
7,7,7,1802.45,464133
14,14,14,3675.34,964908
16,16,16,4284.43,1.1473e+06
12,12,12,3265.13,888447
4,4,4,1113.46,309952
5,5,5,1403.8,394130
1,1,1,288.283,83107.4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
